State,Year,Education Level of Mother,Education_Level_Code,Number_of_Births,Average_Age_of_Mother
Alabama,2018,"Some college credit, but not a degree",4,6024,27
Alabama,2018,"Some college credit, but not a degree",4,6469,27
Alabama,2018,High school graduate or GED completed,3,8901,25.5
Alabama,2018,High school graduate or GED completed,3,9405,25.5
Alabama,2018,9th through 12th grade with no diploma,2,3031,24.4
Alabama,2018,9th through 12th grade with no diploma,2,3138,24.2
Alabama,2018,8th grade or less,1,909,27.8
Alabama,2018,8th grade or less,1,947,28
Alabama,2018,Unknown or Not Stated,0,50,26.9
Alabama,2018,Unknown or Not Stated,0,62,27.6
Alabama,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,523,33.2
Alabama,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,533,33.1
Alabama,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1869,31.9
Alabama,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2046,32.1
Alabama,2019,"Bachelor's degree (BA, AB, BS)",6,4293,30.4
Alabama,2019,"Bachelor's degree (BA, AB, BS)",6,4599,30.5
Alabama,2019,"Associate degree (AA, AS)",5,2400,29
Alabama,2019,"Associate degree (AA, AS)",5,2617,28.9
Alabama,2019,"Some college credit, but not a degree",4,6055,27.1
Alabama,2019,"Some college credit, but not a degree",4,6490,27.1
Alabama,2019,High school graduate or GED completed,3,9240,25.6
Alabama,2019,High school graduate or GED completed,3,9647,25.5
Alabama,2019,9th through 12th grade with no diploma,2,2856,24.4
Alabama,2019,9th through 12th grade with no diploma,2,2999,24.5
Alabama,2019,8th grade or less,1,1138,27.7
Alabama,2019,8th grade or less,1,1212,28
Alabama,2019,Unknown or Not Stated,0,46,27.4
Alabama,2019,Unknown or Not Stated,0,52,28
Alabama,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,549,33.2
Alabama,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,572,33.3
Alabama,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1975,31.9
Alabama,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2101,32.1
Alabama,2020,"Bachelor's degree (BA, AB, BS)",6,4307,30.5
Alabama,2020,"Bachelor's degree (BA, AB, BS)",6,4543,30.4
Alabama,2020,"Associate degree (AA, AS)",5,2457,29.1
Alabama,2020,"Associate degree (AA, AS)",5,2639,29.2
Alabama,2020,"Some college credit, but not a degree",4,5668,27.3
Alabama,2020,"Some college credit, but not a degree",4,5840,27.3
Alabama,2020,High school graduate or GED completed,3,9355,25.6
Alabama,2020,High school graduate or GED completed,3,9656,25.7
Alabama,2020,9th through 12th grade with no diploma,2,2763,24.8
Alabama,2020,9th through 12th grade with no diploma,2,2849,24.5
Alabama,2020,8th grade or less,1,1153,27.6
Alabama,2020,8th grade or less,1,1141,27.4
Alabama,2020,Unknown or Not Stated,0,42,29.4
Alabama,2020,Unknown or Not Stated,0,37,30.6
Alabama,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,577,33
Alabama,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,643,33.3
Alabama,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2173,31.9
Alabama,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2248,31.8
Alabama,2021,"Bachelor's degree (BA, AB, BS)",6,4480,30.5
Alabama,2021,"Bachelor's degree (BA, AB, BS)",6,4786,30.4
Alabama,2021,"Associate degree (AA, AS)",5,2441,29
Alabama,2021,"Associate degree (AA, AS)",5,2598,29.2
Alabama,2021,"Some college credit, but not a degree",4,5577,27.6
Alabama,2021,"Some college credit, but not a degree",4,5678,27.4
Alabama,2021,High school graduate or GED completed,3,9437,25.8
Alabama,2021,High school graduate or GED completed,3,9728,25.8
Alabama,2021,9th through 12th grade with no diploma,2,2595,24.5
Alabama,2021,9th through 12th grade with no diploma,2,2645,24.4
Alabama,2021,8th grade or less,1,1183,27.9
Alabama,2021,8th grade or less,1,1203,27.6
Alabama,2021,Unknown or Not Stated,0,32,27.8
Alabama,2021,Unknown or Not Stated,0,30,27.5
Alaska,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,86,33.5
Alaska,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,101,34.4
Alaska,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,379,32.8
Alaska,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,340,33.1
Alaska,2016,"Bachelor's degree (BA, AB, BS)",6,892,31
Alaska,2016,"Bachelor's degree (BA, AB, BS)",6,956,31
Alaska,2016,"Associate degree (AA, AS)",5,438,29.7
Alaska,2016,"Associate degree (AA, AS)",5,468,29.4
Alaska,2016,"Some college credit, but not a degree",4,1442,27.8
Alaska,2016,"Some college credit, but not a degree",4,1469,28
Alaska,2016,High school graduate or GED completed,3,1603,26.2
Alaska,2016,High school graduate or GED completed,3,1743,26.1
Alaska,2016,9th through 12th grade with no diploma,2,491,24.5
Alaska,2016,9th through 12th grade with no diploma,2,559,24.3
Alaska,2016,8th grade or less,1,32,28.2
Alaska,2016,8th grade or less,1,44,28.2
Alaska,2016,Unknown or Not Stated,0,81,29.4
Alaska,2016,Unknown or Not Stated,0,85,29.6
Alaska,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,93,34
Alaska,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,92,34.4
Alaska,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,362,33.4
Alaska,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,326,33.4
Alaska,2017,"Bachelor's degree (BA, AB, BS)",6,796,31.3
Alaska,2017,"Bachelor's degree (BA, AB, BS)",6,926,31.4
Alaska,2017,"Associate degree (AA, AS)",5,420,30
Alaska,2017,"Associate degree (AA, AS)",5,424,29.8
Alaska,2017,"Some college credit, but not a degree",4,1323,27.8
Alaska,2017,"Some college credit, but not a degree",4,1400,28.1
Alaska,2017,High school graduate or GED completed,3,1522,26.6
Alaska,2017,High school graduate or GED completed,3,1575,26.5
Alaska,2017,9th through 12th grade with no diploma,2,466,24
Alaska,2017,9th through 12th grade with no diploma,2,476,24.6
Alaska,2017,8th grade or less,1,45,28.3
Alaska,2017,8th grade or less,1,43,27.9
Alaska,2017,Unknown or Not Stated,0,71,29.1
Alaska,2017,Unknown or Not Stated,0,85,29.3
Alaska,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,96,34
Alaska,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,113,34.3
Alaska,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,331,33.3
Alaska,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,312,33.3
Alaska,2018,"Bachelor's degree (BA, AB, BS)",6,838,31.4
Alaska,2018,"Bachelor's degree (BA, AB, BS)",6,899,31.3
Alaska,2018,"Associate degree (AA, AS)",5,408,30.1
Alaska,2018,"Associate degree (AA, AS)",5,430,30
Alaska,2018,"Some college credit, but not a degree",4,1242,28.2
Alaska,2018,"Some college credit, but not a degree",4,1314,28.3
Alaska,2018,High school graduate or GED completed,3,1430,26.5
Alaska,2018,High school graduate or GED completed,3,1591,26.5
Alaska,2018,9th through 12th grade with no diploma,2,439,24.6
Alaska,2018,9th through 12th grade with no diploma,2,441,25.2
Alaska,2018,8th grade or less,1,36,28.1
Alaska,2018,8th grade or less,1,27,28.8
Alaska,2018,Unknown or Not Stated,0,58,29.7
Alaska,2018,Unknown or Not Stated,0,81,28.7
Alaska,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,111,34.2
Alaska,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,110,34.8
Alaska,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,327,33.6
Alaska,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,309,33
Alaska,2019,"Bachelor's degree (BA, AB, BS)",6,801,31.6
Alaska,2019,"Bachelor's degree (BA, AB, BS)",6,874,31.6
Alaska,2019,"Associate degree (AA, AS)",5,365,30.3
Alaska,2019,"Associate degree (AA, AS)",5,411,30
Alaska,2019,"Some college credit, but not a degree",4,1191,28.2
Alaska,2019,"Some college credit, but not a degree",4,1255,28.3
Alaska,2019,High school graduate or GED completed,3,1421,26.6
Alaska,2019,High school graduate or GED completed,3,1580,26.9
Alaska,2019,9th through 12th grade with no diploma,2,385,25.2
Alaska,2019,9th through 12th grade with no diploma,2,445,25.1
Alaska,2019,8th grade or less,1,35,29.8
Alaska,2019,8th grade or less,1,33,29.8
Alaska,2019,Unknown or Not Stated,0,67,29.4
Alaska,2019,Unknown or Not Stated,0,102,28.6
Alaska,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,114,34.4
Alaska,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,116,34.3
Alaska,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,300,33.4
Alaska,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,312,33.1
Alaska,2020,"Bachelor's degree (BA, AB, BS)",6,786,31.3
Alaska,2020,"Bachelor's degree (BA, AB, BS)",6,793,31.5
Alaska,2020,"Associate degree (AA, AS)",5,389,30.3
Alaska,2020,"Associate degree (AA, AS)",5,424,30.2
Alaska,2020,"Some college credit, but not a degree",4,1143,28.4
Alaska,2020,"Some college credit, but not a degree",4,1157,28.4
Alaska,2020,High school graduate or GED completed,3,1472,26.7
Alaska,2020,High school graduate or GED completed,3,1522,26.7
Alaska,2020,9th through 12th grade with no diploma,2,370,25.8
Alaska,2020,9th through 12th grade with no diploma,2,365,26
Alaska,2020,8th grade or less,1,22,28.9
Alaska,2020,8th grade or less,1,31,29.2
Alaska,2020,Unknown or Not Stated,0,69,28
Alaska,2020,Unknown or Not Stated,0,84,29.2
Alaska,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,121,34.4
Alaska,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,98,33.9
Alaska,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,320,33.6
Alaska,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,334,33.8
Alaska,2021,"Bachelor's degree (BA, AB, BS)",6,804,31.4
Alaska,2021,"Bachelor's degree (BA, AB, BS)",6,893,31.7
Alaska,2021,"Associate degree (AA, AS)",5,369,30.6
Alaska,2021,"Associate degree (AA, AS)",5,383,30.2
Alaska,2021,"Some college credit, but not a degree",4,1096,28.4
Alaska,2021,"Some college credit, but not a degree",4,1161,28.4
Alaska,2021,High school graduate or GED completed,3,1366,26.9
Alaska,2021,High school graduate or GED completed,3,1482,26.7
Alaska,2021,9th through 12th grade with no diploma,2,323,24.6
Alaska,2021,9th through 12th grade with no diploma,2,389,25.1
Alaska,2021,8th grade or less,1,31,28.2
Alaska,2021,8th grade or less,1,29,30.5
Alaska,2021,Unknown or Not Stated,0,78,29.5
Alaska,2021,Unknown or Not Stated,0,90,29.1
Arizona,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,745,33.5
Arizona,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,789,33.6
Arizona,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2459,32.7
Arizona,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2525,32.8
Arizona,2016,"Bachelor's degree (BA, AB, BS)",6,6783,31.1
Arizona,2016,"Bachelor's degree (BA, AB, BS)",6,7016,31.1
Arizona,2016,"Associate degree (AA, AS)",5,3589,29.4
Arizona,2016,"Associate degree (AA, AS)",5,3584,29.5
Arizona,2016,"Some college credit, but not a degree",4,9871,27.7
Arizona,2016,"Some college credit, but not a degree",4,10214,27.6
Arizona,2016,High school graduate or GED completed,3,10386,26.2
Arizona,2016,High school graduate or GED completed,3,10905,26.2
Arizona,2016,9th through 12th grade with no diploma,2,6069,24.8
Arizona,2016,9th through 12th grade with no diploma,2,6283,24.9
Arizona,2016,8th grade or less,1,1373,29.8
Arizona,2016,8th grade or less,1,1378,29.4
Arizona,2016,Unknown or Not Stated,0,239,27.6
Arizona,2016,Unknown or Not Stated,0,312,28.2
Arizona,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,759,33.6
Arizona,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,835,33.6
Arizona,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2601,32.8
Arizona,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2540,32.8
Arizona,2017,"Bachelor's degree (BA, AB, BS)",6,6392,31.2
Arizona,2017,"Bachelor's degree (BA, AB, BS)",6,6627,31.2
Arizona,2017,"Associate degree (AA, AS)",5,3344,29.8
Arizona,2017,"Associate degree (AA, AS)",5,3412,29.8
Arizona,2017,"Some college credit, but not a degree",4,9479,27.9
Arizona,2017,"Some college credit, but not a degree",4,9739,27.8
Arizona,2017,High school graduate or GED completed,3,10473,26.4
Arizona,2017,High school graduate or GED completed,3,11019,26.3
Arizona,2017,9th through 12th grade with no diploma,2,5726,25
Arizona,2017,9th through 12th grade with no diploma,2,5831,24.8
Arizona,2017,8th grade or less,1,1226,29.5
Arizona,2017,8th grade or less,1,1291,29.8
Arizona,2017,Unknown or Not Stated,0,273,28.3
Arizona,2017,Unknown or Not Stated,0,305,29.2
Arizona,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,739,34
Arizona,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,836,33.8
Arizona,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2507,32.8
Arizona,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2604,32.9
Arizona,2018,"Bachelor's degree (BA, AB, BS)",6,6494,31.2
Arizona,2018,"Bachelor's degree (BA, AB, BS)",6,6832,31.2
Arizona,2018,"Associate degree (AA, AS)",5,3364,29.6
Arizona,2018,"Associate degree (AA, AS)",5,3523,29.9
Arizona,2018,"Some college credit, but not a degree",4,9098,28.1
Arizona,2018,"Some college credit, but not a degree",4,9563,28
Arizona,2018,High school graduate or GED completed,3,10416,26.5
Arizona,2018,High school graduate or GED completed,3,10887,26.5
Arizona,2018,9th through 12th grade with no diploma,2,5420,24.9
Arizona,2018,9th through 12th grade with no diploma,2,5682,25.1
Arizona,2018,8th grade or less,1,1172,29.5
Arizona,2018,8th grade or less,1,1222,29.5
Arizona,2018,Unknown or Not Stated,0,179,28.4
Arizona,2018,Unknown or Not Stated,0,185,28.7
Arizona,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,753,34.1
Arizona,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,803,34
Arizona,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2479,32.8
Arizona,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2594,33
Arizona,2019,"Bachelor's degree (BA, AB, BS)",6,6529,31.2
Arizona,2019,"Bachelor's degree (BA, AB, BS)",6,6937,31.2
Arizona,2019,"Associate degree (AA, AS)",5,3384,29.9
Arizona,2019,"Associate degree (AA, AS)",5,3419,29.8
Arizona,2019,"Some college credit, but not a degree",4,8830,28.2
Arizona,2019,"Some college credit, but not a degree",4,9419,28.2
Arizona,2019,High school graduate or GED completed,3,10418,26.6
Arizona,2019,High school graduate or GED completed,3,10875,26.6
Arizona,2019,9th through 12th grade with no diploma,2,5085,25.1
Arizona,2019,9th through 12th grade with no diploma,2,5265,25.1
Arizona,2019,8th grade or less,1,1083,29.6
Arizona,2019,8th grade or less,1,1164,29.8
Arizona,2019,Unknown or Not Stated,0,138,28.4
Arizona,2019,Unknown or Not Stated,0,200,29.1
Arizona,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,813,33.9
Arizona,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,828,34
Arizona,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2449,32.9
Arizona,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2577,32.8
Arizona,2020,"Bachelor's degree (BA, AB, BS)",6,6563,31.2
Arizona,2020,"Bachelor's degree (BA, AB, BS)",6,6699,31.3
Arizona,2020,"Associate degree (AA, AS)",5,3285,29.9
Arizona,2020,"Associate degree (AA, AS)",5,3418,30
Arizona,2020,"Some college credit, but not a degree",4,8564,28.4
Arizona,2020,"Some college credit, but not a degree",4,8998,28.4
Arizona,2020,High school graduate or GED completed,3,10275,26.7
Arizona,2020,High school graduate or GED completed,3,10585,26.7
Arizona,2020,9th through 12th grade with no diploma,2,4665,25.2
Arizona,2020,9th through 12th grade with no diploma,2,4888,25.2
Arizona,2020,8th grade or less,1,981,29.6
Arizona,2020,8th grade or less,1,977,29.4
Arizona,2020,Unknown or Not Stated,0,179,28.9
Arizona,2020,Unknown or Not Stated,0,203,29.5
Arizona,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,808,34.1
Arizona,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,892,34.3
Arizona,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2646,32.8
Arizona,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2667,32.8
Arizona,2021,"Bachelor's degree (BA, AB, BS)",6,6921,31.2
Arizona,2021,"Bachelor's degree (BA, AB, BS)",6,7362,31.2
Arizona,2021,"Associate degree (AA, AS)",5,3302,30.1
Arizona,2021,"Associate degree (AA, AS)",5,3505,29.9
Arizona,2021,"Some college credit, but not a degree",4,8413,28.5
Arizona,2021,"Some college credit, but not a degree",4,8692,28.6
Arizona,2021,High school graduate or GED completed,3,10448,26.9
Arizona,2021,High school graduate or GED completed,3,11011,26.9
Arizona,2021,9th through 12th grade with no diploma,2,4417,25.3
Arizona,2021,9th through 12th grade with no diploma,2,4648,25.3
Arizona,2021,8th grade or less,1,899,29.2
Arizona,2021,8th grade or less,1,939,29.6
Arizona,2021,Unknown or Not Stated,0,174,28.4
Arizona,2021,Unknown or Not Stated,0,172,29.5
Arkansas,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,265,32.6
Arkansas,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,269,32.5
Arkansas,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,954,31.4
Arkansas,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1007,31.3
Arkansas,2016,"Bachelor's degree (BA, AB, BS)",6,2629,29.9
Arkansas,2016,"Bachelor's degree (BA, AB, BS)",6,2901,29.9
Arkansas,2016,"Associate degree (AA, AS)",5,1334,28.4
Arkansas,2016,"Associate degree (AA, AS)",5,1473,28.4
Arkansas,2016,"Some college credit, but not a degree",4,4403,26.4
Arkansas,2016,"Some college credit, but not a degree",4,4761,26.6
Arkansas,2016,High school graduate or GED completed,3,6053,25.1
Arkansas,2016,High school graduate or GED completed,3,6341,25.1
Arkansas,2016,9th through 12th grade with no diploma,2,2284,23.9
Arkansas,2016,9th through 12th grade with no diploma,2,2440,23.9
Arkansas,2016,8th grade or less,1,455,29.6
Arkansas,2016,8th grade or less,1,473,29.2
Arkansas,2016,Unknown or Not Stated,0,122,26.4
Arkansas,2016,Unknown or Not Stated,0,110,27.6
Arkansas,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,249,32.4
Arkansas,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,246,32.4
Arkansas,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,931,31.7
Arkansas,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1017,31.5
Arkansas,2017,"Bachelor's degree (BA, AB, BS)",6,2610,30
Arkansas,2017,"Bachelor's degree (BA, AB, BS)",6,2746,29.9
Arkansas,2017,"Associate degree (AA, AS)",5,1341,28.4
Arkansas,2017,"Associate degree (AA, AS)",5,1382,28.5
Arkansas,2017,"Some college credit, but not a degree",4,4302,26.6
Arkansas,2017,"Some college credit, but not a degree",4,4532,26.7
Arkansas,2017,High school graduate or GED completed,3,6204,25.2
Arkansas,2017,High school graduate or GED completed,3,6316,25.3
Arkansas,2017,9th through 12th grade with no diploma,2,2242,24
Arkansas,2017,9th through 12th grade with no diploma,2,2333,24.2
Arkansas,2017,8th grade or less,1,421,29.1
Arkansas,2017,8th grade or less,1,451,28.6
Arkansas,2017,Unknown or Not Stated,0,93,27.4
Arkansas,2017,Unknown or Not Stated,0,104,27.9
Arkansas,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,268,32.4
Arkansas,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,311,32.6
Arkansas,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1072,31.9
Arkansas,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1115,31.7
Arkansas,2018,"Bachelor's degree (BA, AB, BS)",6,2637,30.1
Arkansas,2018,"Bachelor's degree (BA, AB, BS)",6,2654,30
Arkansas,2018,"Associate degree (AA, AS)",5,1501,28.5
Arkansas,2018,"Associate degree (AA, AS)",5,1477,28.3
Arkansas,2018,"Some college credit, but not a degree",4,4209,26.7
Arkansas,2018,"Some college credit, but not a degree",4,4357,26.8
Arkansas,2018,High school graduate or GED completed,3,5804,25.2
Arkansas,2018,High school graduate or GED completed,3,6155,25.2
Arkansas,2018,9th through 12th grade with no diploma,2,2116,24.1
Arkansas,2018,9th through 12th grade with no diploma,2,2185,24.3
Arkansas,2018,8th grade or less,1,441,29.6
Arkansas,2018,8th grade or less,1,419,29.6
Arkansas,2018,Unknown or Not Stated,0,140,27.4
Arkansas,2018,Unknown or Not Stated,0,157,28
Arkansas,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,246,32.8
Arkansas,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,303,32.9
Arkansas,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1110,31.7
Arkansas,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1134,31.4
Arkansas,2019,"Bachelor's degree (BA, AB, BS)",6,2507,30.1
Arkansas,2019,"Bachelor's degree (BA, AB, BS)",6,2758,30
Arkansas,2019,"Associate degree (AA, AS)",5,1408,28.4
Arkansas,2019,"Associate degree (AA, AS)",5,1481,28.6
Arkansas,2019,"Some college credit, but not a degree",4,4072,27
Arkansas,2019,"Some college credit, but not a degree",4,4278,26.8
Arkansas,2019,High school graduate or GED completed,3,6009,25.2
Arkansas,2019,High school graduate or GED completed,3,6218,25.4
Arkansas,2019,9th through 12th grade with no diploma,2,1945,24.2
Arkansas,2019,9th through 12th grade with no diploma,2,2019,24.2
Arkansas,2019,8th grade or less,1,373,29.8
Arkansas,2019,8th grade or less,1,426,29
Arkansas,2019,Unknown or Not Stated,0,135,26.9
Arkansas,2019,Unknown or Not Stated,0,142,26.8
Arkansas,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,293,32.8
Arkansas,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,304,32.5
Arkansas,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1067,31.6
Arkansas,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1118,31.5
